review_id,review,label
e64fb393e7b32834bb789ff8bb30750e,receber bem antar prazo estipular,1
f7c4243c7fe1938f181bec41a392bdeb,parabém loja lannister adorar comprar internet segurar prático parabém todo feliz páscoa,1
8670d52e15e00043ae7de4c01cc2fe06,recomendar aparelhar eficiente site marcar aparelhar impresso desinfector chegar outro nome atualizar marcar corretar vez aparelhar,1
4b49719c8a200003f700d3d986ea1a19,pouco travar valor ta bom,1
3948b09f7c818e2d86c9a546758b2335,super recomendar vendedor confiável produto ok entregar antar prazo,1
9314d6f9799f5bfba510cc7bcd468c01,gostar saber sempre receber comprar agora decpcionou,0
373cbeecea8286a2b66c97b1b157ec46,não chegar produto mau,0
d21bbc789670eab777d27372ab9094cc,ótimo loja noto,1
0e0190b9db53b689b285d3f3916f8441,obrigar atençao amim dispensar,1
fe3db7c069d694bab50cc43463f91608,comprar realizar facilmente entregar efetuada antar prazo dar produto começar ser usar presentar problema,1
e07eee7ad7666276bd8b27fbd83fd1ff,relógio bonito baratar,1
2c5e27fc178bde7ac173c9c62c31b070,não gostar comprar gatar lebre,0
58044bca115705a48fe0e00a21390c54,sempre comprar internet entregar ocorrer antar prazo combinar acreditar ser prazo máximo stark prazo máximo esgotar ainda não receber produto,0
c92cdd7dd544a01aa35137f901669cdf,bom receber exatamente esperar demais encomendar outro vendedor atrasar chegar prazo,1
08c9d79ec0eba1d252e3f52f14b8e6a9,bom recomendar,1
2170c9452c2216457b36003fe2969fbb,bom,1
b193ff3c9f32a01f3a0d9ae26b94d244,maravilhoso tô completamente apaixonar loja super responsável confiável,1
9fd59cd04b42f600df9f25e54082a8d1,nado chegar pedir,0
86c5cfa7fcbde303f704b60a78ced7d6,entregar perfeito bom cheiroso,1
890ec1767be8eb104877db6d68eaade5,otimo vendedor chegar atar antar prazo adorar produto,1
7d9ac3e98adc0c8ad579e6a2257d79f9,processar comprar tranquilo eficiente,1
c41bd21983e298a240410ebb391bf075,tomar q durar pois pêlo,1
e233e51d11511bf30e568c76360ace52,receber somente controlo midea split estilar faltar controlo remoto ar condicionar consul,0
1edd1a85161468a77e5fcb165be9b294,ótimo,1
3d94fd645cdaacc8c9f0dc0a2a1f5166,bom,1
500c05500aa275953129f49799ee5c73,mt lindar mt lindar,1
6a0969d0769d2f3ff6438809a1cc455e,ocorrer tudo contratar ser entregar realizar antar prazo satisfeito,1
8a64945e89526e68bc16383391590232,amar achar lindar delicado adorar,1
c0dbf9a325d2a2fece43873be47191e1,ótima loja parceria rápidíssima produto bem embalar qualidade custar fretar mear azedar,1
109b5ce2dd11bb8460eff3b86da6fefc,ótimo produto recomendar vendedor,1
6d06808638ec0701bccd70bc8d462c28,produto não chegar prazo estipular causar transtornar pq programar viagem féria filhar basear prazo morar bahia cuiabá só agora casar vazio,0
750d4311e8ddb6cba549ee86f06f0cca,produto entregar solicitar muito brevidade parabém,1
8b230a1373c6dc4bd867099fda1d7039,comprar dois unidade receber agora fazer,0
cb2fc3e5711b5ae85e0491ee18af63ed,produto bom porém vir mim não condizer foto anúncio,0
60c714ed14cef913944a3147094a4742,produto inferior mal acabar,0
